PJ797	-33.3812302	-70.76880700000001	
PJ798	-33.3789845	-70.772705	
PJ796	-33.3840763	-70.76415999999999	
PJ80	-33.4601586	-70.7524538	
PJ794	-33.4273341	-70.7789248	
PJ788	-33.4417068	-70.736201	
PJ79	-33.4593914	-70.75640299999999	
PJ795	-33.3856103	-70.761472	
PJ787	-33.4413449	-70.733841	
PJ786	-33.439664	-70.7325814	
PJ784	-33.4393039	-70.72818889999999	
PJ785	-33.43926	-70.730665	
PJ783	-33.4398511	-70.725533	
PJ782	-33.4404751	-70.722667	
PJ781	-33.4408132	-70.719824	
PJ780	-33.4384922	-70.719357	
PJ779	-33.4386236	-70.7171632	
PJ777	-33.4394703	-70.710737	
PJ78	-33.4585643	-70.76076499999999	
PJ776	-33.4396283	-70.709114	
PJ775	-33.4460848	-70.7075658	
PJ77	-33.4589043	-70.76413699999999	
PJ76	-33.4632913	-70.762896	
PJ758	-33.4395213	-70.7108909	
PJ757	-33.4390443	-70.71297799999999	
PJ756	-33.4387685	-70.7162712	
PJ75	-33.4645494	-70.757455	
PJ746	-33.4401819	-70.73777969999999	
PJ74	-33.4616924	-70.75672399999999	
PJ735	-33.4187225	-70.752811	
PJ734	-33.446742	-70.73105	
PJ732	-33.441803	-70.730976	
PJ733	-33.4442519	-70.731004	
PJ731	-33.439063	-70.730954	
PJ73	-33.4593175	-70.75588359999999	
PJ728	-33.4331889	-70.730897	
PJ727	-33.4299854	-70.7308639	
PJ724	-33.4279977	-70.74759399999999	
PJ726	-33.4295818	-70.7481328	
PJ722	-33.4254476	-70.748454	
PJ721	-33.4238186	-70.747607	
PJ723	-33.4267696	-70.74890599999999	
PJ720	-33.4225215	-70.754136	
PJ72	-33.4517517	-70.739199	
PJ719	-33.4229264	-70.756225	
PJ715	-33.4199214	-70.758836	
PJ716	-33.4215584	-70.758747	
PJ717	-33.4227595	-70.7586721	
PJ714	-33.4175585	-70.75896019999999	
PJ711	-33.4179312	-70.765193	
PJ710	-33.4159593	-70.76521000000001	
PJ71	-33.4498068	-70.73935999999999	
PJ708	-33.4162033	-70.765107	
PJ709	-33.4147486	-70.7651198	
PJ705	-33.4174834	-70.758894	
PJ704	-33.419837	-70.7587619	
PJ703	-33.4215054	-70.75867199999999	
PJ702	-33.4229227	-70.75831780000001	
PJ701	-33.4224906	-70.7474841	
PJ70	-33.4476788	-70.73954599999999	
PJ7	-33.4244524	-70.702912	
PJ698	-33.4274886	-70.747322	
PJ699	-33.4255641	-70.7481854	
PJ697	-33.4287957	-70.7477626	
PJ696	-33.4306461	-70.7304157	
